index,Bin_ID,Other_bin,count_raw,norm_val,count_normed
280,1,80,61,7736.95043143,471953.976317
281,1,81,82,7794.13912121,639119.407939
282,1,82,59,7967.3569425,470074.059607
283,1,83,46,8369.22800865,384984.488398
284,1,84,51,9312.62514965,474943.882632
285,1,85,47,9747.01262292,458109.593277
286,1,86,45,9781.07709724,440148.469376
287,1,87,41,9493.81134886,389246.265303
288,1,88,54,9516.52967469,513892.602433
289,1,89,44,10253.66672,451161.335678
290,1,90,36,9890.30386553,356050.939159
291,1,91,59,8710.20828343,513902.288722
292,1,92,53,8227.07577377,436035.01601
293,1,93,64,8173.12598353,523080.062946
294,1,94,49,8245.79626699,404044.017083
295,1,95,65,8304.75334166,539808.967208
296,1,96,42,8447.76818069,354806.263589
297,1,97,77,8471.72759803,652323.025049
298,1,98,54,8669.62621355,468159.815532
299,1,99,43,9180.79591616,394774.224395
300,21,0,22,11388.4192417,250545.223318
301,21,1,28,11891.153172,332952.288815
302,21,2,21,12469.7955572,261865.706702
303,21,3,24,12454.934148,298918.419553
304,21,4,30,12518.5805139,375557.415418
305,21,5,37,11200.6046041,414422.370353
306,21,6,39,10651.6863814,415415.768876
307,21,7,29,10701.4800707,310342.922051
308,21,8,36,10969.288322,394894.379592
309,21,9,25,11837.0833684,295927.084209
310,21,10,37,11756.9271127,435006.30317
311,21,11,33,11396.2618915,376076.642419
312,21,12,37,11899.4389363,440279.240642
313,21,13,29,12496.9570616,362411.754786
314,21,14,26,12952.6197523,336768.11356
315,21,15,33,13085.3237691,431815.684379
316,21,16,27,13465.4793411,363567.942211
317,21,17,21,13714.3057437,288000.420617
318,21,18,27,14025.2444423,378681.599941
319,21,19,20,14166.6433351,283332.866701
320,21,20,20,14431.1748834,288623.497668
321,21,21,28,14154.4744701,396325.285163
322,21,22,28,13877.1706089,388560.777049
323,21,23,27,13967.374338,377119.107127
324,21,24,19,14882.914603,282775.377457
325,21,25,19,14516.7655752,275818.545929
326,21,26,18,14808.4572301,266552.230141
327,21,27,20,15158.5377869,303170.755738
328,21,28,21,15305.2532757,321410.31879
329,21,29,24,14352.3229136,344455.749926
330,21,30,23,13543.8851811,311509.359165
331,21,31,23,13705.5321681,315227.239866
332,21,32,24,14026.7452919,336641.887005
333,21,33,18,13927.7742121,250699.935818
334,21,34,34,14239.6245975,484147.236315
335,21,35,22,14203.1043109,312468.29484
336,21,36,23,14994.1037951,344864.387287
337,21,37,19,14895.6929005,283018.16511
338,21,38,18,14851.3111922,267323.60146
339,21,39,16,14486.1220585,231777.952936
340,21,40,31,14191.4817503,439935.934258
341,21,41,16,14051.4440636,224823.105017
342,21,42,20,13470.4630531,269409.261061
343,21,43,30,13070.8628415,392125.885245
344,21,44,34,13124.9194315,446247.26067
345,21,45,25,12735.0491379,318376.228447
346,21,46,28,12420.5796988,347776.231566
347,21,47,38,12288.0191767,466944.728713
348,21,48,21,12524.5462619,263015.471499
349,21,49,21,12538.3464588,263305.275635
350,21,50,35,12521.6508847,438257.780965
351,21,51,37,12245.9435967,453099.913079
352,21,52,30,12544.5526739,376336.580218
353,21,53,29,12525.6108636,363242.715043
354,21,54,32,12795.8639185,409467.645393
355,21,55,30,12538.3262806,376149.788418
356,21,56,33,12829.2732074,423366.015843
357,21,57,20,13074.6916508,261493.833017
358,21,58,25,13451.9082846,336297.707116
359,21,59,25,12807.9587134,320198.967835
360,21,60,25,11856.5501438,296413.753596
361,21,61,29,11110.1500391,322194.351133
362,21,62,27,10859.8664613,293216.394454
363,21,63,42,10649.2959065,447270.428074
364,21,64,38,10511.5614847,399439.33642
365,21,65,35,10432.3309603,365131.583611
366,21,66,30,10375.9329122,311277.987366
367,21,67,37,10273.517376,380120.14291
368,21,68,42,10343.4780247,434426.077036
369,21,69,34,10231.7632947,347879.95202
370,21,70,55,10253.4875181,563941.813494
371,21,71,35,11167.6409338,390867.432682
372,21,72,32,11584.8900711,370716.482274
373,21,73,34,11838.0631447,402494.14692
374,21,74,28,11798.8790922,330368.614581
375,21,75,36,10678.1043924,384411.758126
376,21,76,39,9867.94436587,384849.830269
377,21,77,39,9542.10914694,372142.256731
378,21,78,54,9331.13107946,503881.078291
379,21,79,42,9144.36806668,384063.458801
380,21,80,39,9209.57503234,359173.426261
381,21,81,76,9277.64882113,705101.310406
382,21,82,42,9483.83632823,398321.125786
383,21,83,44,9962.19815436,438336.718792
384,21,84,35,11085.1582705,387980.539469
385,21,85,26,11602.2255652,301657.864694
386,21,86,41,11642.7737546,477353.723941
387,21,87,27,11300.8308293,305122.432391
388,21,88,31,11327.8732833,351164.071783
389,21,89,34,12205.3144648,414980.691802
390,21,90,28,11772.7903713,329638.130396
391,21,91,44,10368.0794448,456195.495571
392,21,92,34,9792.9891508,332961.631127
393,21,93,48,9728.77074258,466980.995644
394,21,94,43,9815.27283847,422056.732054
395,21,95,41,9885.45160045,405303.515619
396,21,96,51,10055.6873933,512840.057058
397,21,97,37,10084.2071639,373115.665065
398,21,98,48,10319.773123,495349.109903
399,21,99,28,10928.237113,305990.639165
400,25,0,21,11679.9117306,245278.146343
401,25,1,29,12195.5133962,353669.888489
402,25,2,33,12788.966433,422035.892289
403,25,3,28,12773.7246383,357664.289874
404,25,4,21,12839.0000659,269619.001385
405,25,5,30,11487.2898801,344618.696404
406,25,6,26,10924.3218112,284032.367091
407,25,7,31,10975.3899958,340237.089869
408,25,8,38,11250.0529379,427502.011641
409,25,9,28,12140.059648,339921.670143
410,25,10,34,12057.8517514,409966.959548
411,25,11,24,11687.9551171,280510.92281
412,25,12,35,12204.0112389,427140.393362
413,25,13,32,12816.8231501,410138.340804
414,25,14,26,13284.1487634,345387.867849
415,25,15,17,13420.2494082,228144.23994
416,25,16,27,13810.135259,372873.651994
417,25,17,28,14065.3305023,393829.254063
418,25,18,17,14384.2278379,244531.873244
419,25,19,30,14529.2459086,435877.377257
420,25,20,20,14800.5482789,296010.965578
421,25,21,19,14516.7655752,275818.545929
422,25,22,20,14232.363978,284647.27956
423,25,23,23,14324.8765183,329472.159922
424,25,24,20,15263.8505106,305277.010211
425,25,25,30,14888.3297088,446649.891263
426,25,26,23,15187.4873626,349312.20934
427,25,27,22,15546.5284126,342023.625078
428,25,28,18,15696.9991603,282545.984886
429,25,29,18,14719.6780521,264954.204937
430,25,30,21,13890.5479371,291701.506679
431,25,31,19,14056.3323624,267070.314887
432,25,32,17,14385.7671025,244558.040742
